[03:12:45] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:45] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:46] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:50] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:50] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:50] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:54] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:55] [Server thread/INFO]: [AIBot] TASK event=task_assigned bot=Bob {params=Eating phase=FINDING starting_food=0, origin=SAFETY, name=eat, origin_reason=critical_hunger}
[03:12:55] [Server thread/INFO]: [AIBot] DANGER event=hunger_eat_started bot=Bob {food=6, critical=true, hp=20, healing=false}
[03:12:55] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
